Rbr,Ime,Prezime,Broj_indeksa,Godina_upisa,Smena,T1,T2,K1,K2,Ukupno_bodova
384,David,Johnson,101,2024,5,5.6,0.5,5.0,0,11.1
385,Magnus,White,226,2021,-,0.0,0.0,0.0,0,0.0
386,Henry,Côté,304,2024,5,3.8,0.0,1.0,0,4.8
387,Freddie,Larsen,590,2024,5,3.8,0.0,5.0,0,8.8
388,Thomas,Roberts,906,2024,5,0.0,0.0,0.0,0,0.0
389,Ryan,Walker,547,2024,5,0.0,0.0,0.0,0,0.0
390,Henry,Nilsen,946,2024,5,0.0,0.0,0.0,0,0.0
391,Carter,Taylor,76,2016,-,0.0,0.0,0.0,0,0.0
392,Wyatt,Jones,511,2024,5,0.0,0.0,0.0,0,0.0
393,Michael,Lefebvre,102,2021,6,0.0,0.0,0.0,0,0.0
394,Connor,Andersen,181,2018,6,0.0,0.0,0.0,0,0.0
395,Robert,Hansen,31,2023,-,2.5,1.0,0.0,17,20.5
396,Alfie,Jackson,320,2024,5,0.0,0.0,0.0,0,0.0
397,Sven,Davis,280,2023,5,0.0,0.0,0.0,0,0.0
398,Carter,Andersen,461,2024,5,0.0,0.0,0.0,0,0.0
399,Ryan,Berg,457,2022,-,3.1,2.0,2.0,5,12.1
400,Logan,White,171,2023,-,1.9,0.0,0.0,0,1.9
401,Oliver,Larsen,480,2024,5,0.0,0.0,0.0,0,0.0
402,Jack,Morin,116,2023,5,1.3,0.0,0.0,0,1.3
403,Benjamin,Garcia,467,2022,-,1.9,1.0,2.0,0,4.9
404,Sven,Côté,532,2022,-,0.0,0.0,0.0,0,0.0
405,Kristian,Williams,39,2023,-,0.6,1.5,2.0,6,10.1
406,Oliver,Evans,139,2021,6,0.0,0.0,0.0,0,0.0
407,Henry,Gagnon,192,2024,5,0.0,0.0,0.0,0,0.0
408,Jack,Thompson,248,2023,-,0.0,0.0,0.0,0,0.0
409,Freddie,Olsen,296,2024,5,2.5,0.0,0.0,0,2.5
410,Daniel,Wilson,401,2022,-,2.5,3.0,0.0,0,5.5
411,Sven,Jones,152,2024,5,0.0,0.0,0.0,0,0.0
412,Lars,Tremblay,380,2023,-,0.0,0.0,0.0,0,0.0
413,Caleb,Johansen,123,2024,5,5.6,8.5,16.0,20,50.1
414,Archie,Davies,105,2024,5,5.6,6.5,12.0,10,34.1
415,Oliver,Smith,325,2021,-,0.0,0.0,0.0,0,0.0
416,Emil,Wright,380,2021,-,0.0,0.0,0.0,0,0.0
417,David,Campbell,205,2024,5,0.0,0.0,0.0,0,0.0
418,James,Davis,565,2024,5,0.6,0.0,0.0,0,0.6
419,Archie,Thompson,584,2022,6,0.0,0.0,0.0,0,0.0
420,Connor,Wilson,449,2024,5,0.0,0.0,0.0,0,0.0
421,Ryan,Hansen,536,2023,-,4.4,0.0,3.0,0,7.4
422,Joseph,Baker,269,2018,6,0.0,0.0,0.0,0,0.0
423,David,Nilsen,498,2018,-,0.0,0.0,0.0,0,0.0
424,Mason,Wilson,83,2024,5,0.0,0.0,0.0,0,0.0
425,Benjamin,Thompson,293,2024,5,0.0,0.0,0.0,0,0.0
426,Noah,Anderson,166,2023,-,5.6,9.0,20.0,20,54.6
427,Jack,Pedersen,144,2024,5,10.0,7.0,20.0,20,57.0
428,Daniel,Roy,916,2020,-,1.3,0.0,0.0,0,1.3
429,Harry,Johansen,365,2023,5,3.8,0.0,0.0,0,3.8
430,David,Lee,175,2024,5,0.0,0.0,0.0,0,0.0
431,Henry,Pelletier,515,2023,-,8.1,6.5,13.0,13,40.6
432,Arthur,Gagnon,195,2024,5,0.0,0.0,0.0,0,0.0
433,Nathan,Berg,287,2023,-,0.0,0.0,0.0,0,0.0
434,Christopher,MacDonald,509,2021,-,0.0,0.0,0.0,0,0.0
435,Edward,Baker,540,2016,6,0.0,0.0,0.0,0,0.0
436,Mason,Thompson,440,2023,-,0.0,0.0,0.0,0,0.0
437,Kristian,Pedersen,357,2024,5,0.0,0.0,0.0,0,0.0
438,Caleb,Lefebvre,178,2023,-,2.5,0.0,2.0,0,4.5
439,Connor,Lee,55,2023,5,2.5,0.0,2.0,0,4.5
440,Bjørn,Taylor,591,2024,5,0.0,0.0,0.0,0,0.0
441,Lars,Jackson,510,2021,-,6.3,5.5,10.0,20,41.8
442,Logan,Miller,278,2018,-,0.0,0.0,0.0,0,0.0
443,James,Lee,593,2019,6,0.0,0.0,0.0,0,0.0
444,Sven,Cooper,251,2023,-,3.1,0.0,0.0,0,3.1
445,Owen,Jackson,300,2023,5,3.1,0.0,0.0,0,3.1
446,Caleb,Solberg,288,2024,5,0.0,0.0,0.0,0,0.0
447,Sven,Baker,57,2025,-,0.0,0.0,0.0,0,0.0
448,Joseph,Côté,485,2024,5,0.0,0.0,0.0,0,0.0
449,Daniel,Pelletier,284,2023,5,0.0,0.0,0.0,0,0.0
450,Jack,Olsen,388,2024,5,2.5,0.0,1.0,0,3.5
451,Thomas,Roberts,596,2019,6,2.5,0.5,4.0,4,11.0
452,Joseph,Davies,457,2022,5,3.1,3.0,8.5,0,14.6
453,Jonas,Johnson,514,2016,6,0.0,0.0,0.0,0,0.0
454,Owen,Campbell,104,2024,5,0.6,0.0,0.0,0,0.6
455,Matthew,Taylor,100,2023,-,10.0,0.0,5.0,0,15.0
456,Luke,Anderson,215,2022,6,1.9,0.0,0.0,0,1.9
457,Nathan,Campbell,311,2023,6,0.0,0.0,0.0,0,0.0
458,Wyatt,Thomas,339,2024,5,2.5,1.5,10.0,14,28.0
459,Benjamin,Evans,321,2024,5,1.3,0.0,0.0,0,1.3
460,Kristian,Martin,367,2022,-,3.1,1.5,0.0,0,4.6
461,George,Davies,52,2020,6,0.0,0.0,0.0,0,0.0
462,Benjamin,Lee,552,2023,-,3.8,0.5,1.0,0,5.3
463,Magnus,Morin,374,2023,-,3.8,1.0,0.0,0,4.8
464,Erik,Andersen,492,2021,-,3.8,0.0,7.5,0,11.3
465,Jack,Lee,326,2023,5,0.6,1.0,0.0,0,1.6
466,Noah,Bouchard,562,2024,5,2.5,0.0,0.0,0,2.5
467,Ethan,Smith,121,2024,5,1.3,0.0,0.0,0,1.3
468,Jack,Roy,183,2021,-,0.0,0.0,0.0,0,0.0
469,William,Taylor,229,2024,5,4.4,0.0,6.0,0,10.4
470,Robert,Miller,364,2024,5,6.5,6.5,10.0,20,43.0
471,Erik,Jackson,574,2023,6,0.0,0.0,0.0,0,0.0
472,Oscar,Pedersen,432,2024,5,6.3,3.5,6.0,8,23.8
473,Luke,Wright,131,2022,-,1.9,1.0,4.0,0,6.9
474,Michael,Campbell,44,2023,-,2.5,0.0,2.0,0,4.5
475,James,Bouchard,186,2021,-,1.9,0.0,3.5,6,11.4
476,George,Solberg,145,2023,-,3.1,1.5,8.0,8,20.6
477,Aksel,Jackson,437,2024,5,1.3,0.0,6.0,0,7.3
478,Daniel,Andersen,546,2024,5,2.5,0.0,0.0,0,2.5
479,Erik,MacDonald,57,2019,-,0.0,0.0,0.0,0,0.0
